age_z,fare_z
-0.563356950237803,-0.4999583222338398
0.668840464281964,0.7885027560515833
-0.25530759660786123,-0.4863761512721267
0.4378034490595077,0.4226232164247433
0.4378034490595077,-0.48386093442736505
-0.10128291979289035,-0.4756452301256355
1.9010378788017308,0.39772256966160263
-2.1036037183875114,-0.22177533920319834
-0.17829525820037578,-0.42181958964773564
-1.1794556574976864,-0.04076423766634161
-1.9495790415725407,-0.309807928769857
2.209087232431673,-0.11160884140263685
-0.7173816270527738,-0.48386093442736505
0.7458528026894494,-0.016533644670645515
-1.1794556574976864,-0.48780077009299977
1.9780502172092163,-0.3238931431005224
-2.1036037183875114,-0.05979537440054633
-0.10128291979289035,-0.38425834737480263
0.12975409542956595,-0.28364967358433557
-0.10128291979289035,-0.5004613656027921
0.4378034490595077,-0.12267579551958825
0.36079111065202224,-0.38425834737480263
-1.102443319090201,-0.4842794665103334
-0.10128291979289035,0.06848068468229919
-1.641529687942599,-0.22177533920319834
0.668840464281964,-0.014269949510359993
-0.10128291979289035,-0.5004613656027921
-0.7943939654602592,4.646175342148551
-0.10128291979289035,-0.48729772672404736
-0.10128291979289035,-0.486963705927063
0.8228651410969349,-0.08805031434786109
-0.10128291979289035,2.3024117749136366
-0.10128291979289035,-0.4898974548547931
2.8251859396915564,-0.4345626842700362
-0.10128291979289035,1.0075781432303252
0.9768898179119057,0.40048930819084055
-0.10128291979289035,-0.5003768543168081
-0.6403692886452884,-0.48386093442736505
-0.8714063038677446,-0.28364967358433557
-1.1794556574976864,-0.41963839359995825
0.8228651410969349,-0.4551874623970819
-0.17829525820037578,-0.22328446931005533
-0.10128291979289035,-0.486963705927063
-2.026591379980026,0.19080473462370068
-0.7943939654602592,-0.48729772672404736
-0.10128291979289035,-0.48386093442736505
-0.10128291979289035,-0.33395401047956913
-0.10128291979289035,-0.4898974548547931
-0.10128291979289035,-0.20961778706235826
-0.8714063038677446,-0.28767402053595426
-1.7185420263500844,0.15274044898181535
-0.6403692886452884,-0.4888913681168884
1.5159761867643038,0.8980837113706843
-0.024270581385404912,-0.12267579551958825
2.748173601284071,0.6012881236888064
-0.10128291979289035,0.06848068468229919
-0.6403692886452884,-0.4345626842700362
-0.06277675058914763,-0.5003768543168081
-1.8725667031650552,-0.08746275969292477
-1.4104926727201428,0.2978684609245641
-0.563356950237803,-0.5003768543168081
1.207926833134362,1.0338209097018307
-1.9495790415725407,-0.08444449947921079
-0.10128291979289035,-0.08805031434786109
-0.10128291979289035,-0.3390689554550765
-0.024270581385404912,-0.4345626842700362
-0.7943939654602592,-0.4816817505530635
-0.9484186422752301,-0.4863761512721267
-0.25530759660786123,-0.4715363718880328
0.20676643383705137,-0.4345626842700362
-1.0254309806827155,0.2978684609245641
-0.6403692886452884,0.8331066054898489
-0.25530759660786123,-0.3549973206895832
0.20676643383705137,0.49095260331627694
-0.3323199350153466,-0.4919096283306024
-0.10128291979289035,-0.486963705927063
-0.10128291979289035,-0.48386093442736505
-2.19370815432427,-0.06231059124530801
0.05274175702208052,-0.39482225812280164
-0.563356950237803,-0.4647452864071763
-0.024270581385404912,-0.4546844190281296
